article_title,url
Inca architecture,https://en.wikipedia.org/wiki/Inca_architecture
Inca kancha,https://en.wikipedia.org/wiki/Inca_kancha
Indian rock-cut architecture,https://en.wikipedia.org/wiki/Indian_rock-cut_architecture
Indies Empire style,https://en.wikipedia.org/wiki/Indies_Empire_style
Indo-Islamic architecture,https://en.wikipedia.org/wiki/Indo-Islamic_architecture
Italian Baroque architecture,https://en.wikipedia.org/wiki/Italian_Baroque_architecture
Italian Neoclassical architecture,https://en.wikipedia.org/wiki/Italian_Neoclassical_architecture
Jacobean architecture,https://en.wikipedia.org/wiki/Jacobean_architecture
Jacobethan,https://en.wikipedia.org/wiki/Jacobethan
Japanese-Western Eclectic Architecture,https://en.wikipedia.org/wiki/Japanese-Western_Eclectic_Architecture
Jeffersonian architecture,https://en.wikipedia.org/wiki/Jeffersonian_architecture
Jengki style,https://en.wikipedia.org/wiki/Jengki_style
Jewish architecture,https://en.wikipedia.org/wiki/Jewish_architecture
Kadamba architecture,https://en.wikipedia.org/wiki/Kadamba_architecture
Kaduna State,https://en.wikipedia.org/wiki/Kaduna_State
Laimes,https://en.wikipedia.org/wiki/Laimes
Landshövdingehus,https://en.wikipedia.org/wiki/Landsh%C3%B6vdingehus
The Leeds Look,https://en.wikipedia.org/wiki/The_Leeds_Look
Lombard architecture,https://en.wikipedia.org/wiki/Lombard_architecture
Louis Philippe style,https://en.wikipedia.org/wiki/Louis_Philippe_style
Louis XIV style,https://en.wikipedia.org/wiki/Louis_XIV_style
Louis XV style,https://en.wikipedia.org/wiki/Louis_XV_style
Louis XVI style,https://en.wikipedia.org/wiki/Louis_XVI_style
Mannerism,https://en.wikipedia.org/wiki/Mannerism
Manueline,https://en.wikipedia.org/wiki/Manueline
Mayan Revival architecture,https://en.wikipedia.org/wiki/Mayan_Revival_architecture
Merovingian art and architecture,https://en.wikipedia.org/wiki/Merovingian_art_and_architecture
Mesoamerican architecture,https://en.wikipedia.org/wiki/Mesoamerican_architecture
Mesoamerican pyramids,https://en.wikipedia.org/wiki/Mesoamerican_pyramids
Metabolism (architecture),https://en.wikipedia.org/wiki/Metabolism_(architecture)
Modernism,https://en.wikipedia.org/wiki/Modernism
Modernisme,https://en.wikipedia.org/wiki/Modernisme
Moorish architecture,https://en.wikipedia.org/wiki/Moorish_architecture
Mudéjar art,https://en.wikipedia.org/wiki/Mud%C3%A9jar_art
Nazi architecture,https://en.wikipedia.org/wiki/Nazi_architecture
Neoclásico Isabelino,https://en.wikipedia.org/wiki/Neocl%C3%A1sico_Isabelino
Neoclassical architecture,https://en.wikipedia.org/wiki/Neoclassical_architecture
Neoclassicism in France,https://en.wikipedia.org/wiki/Neoclassicism_in_France
New Hague School (architecture),https://en.wikipedia.org/wiki/New_Hague_School_(architecture)
New Khmer Architecture,https://en.wikipedia.org/wiki/New_Khmer_Architecture
New Mexico vernacular,https://en.wikipedia.org/wiki/New_Mexico_vernacular
Newar architecture,https://en.wikipedia.org/wiki/Newar_architecture
Noucentisme,https://en.wikipedia.org/wiki/Noucentisme
Omo sebua,https://en.wikipedia.org/wiki/Omo_sebua
Open building,https://en.wikipedia.org/wiki/Open_building
Ornamentalism (architecture),https://en.wikipedia.org/wiki/Ornamentalism_(architecture)
Ottoman architecture,https://en.wikipedia.org/wiki/Ottoman_architecture
Ottonian architecture,https://en.wikipedia.org/wiki/Ottonian_architecture
Palazzo style architecture,https://en.wikipedia.org/wiki/Palazzo_style_architecture
Palladian architecture,https://en.wikipedia.org/wiki/Palladian_architecture
Phallic architecture,https://en.wikipedia.org/wiki/Phallic_architecture
Plantagenet style,https://en.wikipedia.org/wiki/Plantagenet_style
Plateresque,https://en.wikipedia.org/wiki/Plateresque
Polite architecture,https://en.wikipedia.org/wiki/Polite_architecture
Pombaline style,https://en.wikipedia.org/wiki/Pombaline_style
Ponce Creole,https://en.wikipedia.org/wiki/Ponce_Creole
Pont Street Dutch,https://en.wikipedia.org/wiki/Pont_Street_Dutch
Português Suave architecture,https://en.wikipedia.org/wiki/Portugu%C3%AAs_Suave_architecture
Portuguese colonial architecture,https://en.wikipedia.org/wiki/Portuguese_colonial_architecture
Portuguese Plain Style architecture,https://en.wikipedia.org/wiki/Portuguese_Plain_Style_architecture
Portuguese Romanesque architecture,https://en.wikipedia.org/wiki/Portuguese_Romanesque_architecture
Postconstructivism,https://en.wikipedia.org/wiki/Postconstructivism
Puuc,https://en.wikipedia.org/wiki/Puuc
Queenslander (architecture),https://en.wikipedia.org/wiki/Queenslander_(architecture)
Remodernism,https://en.wikipedia.org/wiki/Remodernism
Renaissance architecture,https://en.wikipedia.org/wiki/Renaissance_architecture
